OrderID,CustomerID,OrderDate,ProductCategory,ProductID,Quantity,Price,Discount,City,TotalAmount
1,1102,2023-01-01 00:00:00,Groceries,267,2,141.25,0.1,Bangalore,254.25
2,1435,2023-01-01 01:00:00,Home,136,1,352.76,0.11,Bangalore,313.9564
3,1860,2023-01-01 02:00:00,Clothing,166,3,127.93,0.18,Bangalore,314.7078
4,1270,2023-01-01 03:00:00,Clothing,210,2,201.78,0.04,Hyderabad,387.4176
5,1106,2023-01-01 04:00:00,Clothing,318,4,464.78,0.23,Mumbai,1431.5224
6,1071,2023-01-01 05:00:00,Groceries,308,3,413.37,0.29,Mumbai,880.4781
7,1700,2023-01-01 06:00:00,Electronics,480,9,131.46,0.15,Bangalore,1005.6690000000001
8,1020,2023-01-01 07:00:00,Groceries,186,5,300.8,0.17,Mumbai,1248.32
9,1614,2023-01-01 08:00:00,Groceries,402,4,334.57,0.12,Bangalore,1177.6864
10,1121,2023-01-01 09:00:00,Books,278,9,450.62,0.29,Chennai,2879.4617999999996
11,1466,2023-01-01 10:00:00,Books,112,4,276.0,0.04,Mumbai,1059.84
12,1214,2023-01-01 11:00:00,Groceries,399,6,282.84,0.24,Hyderabad,1289.7504
13,1330,2023-01-01 12:00:00,Home,224,1,444.78,0.2,Delhi,355.824
14,1458,2023-01-01 13:00:00,Books,474,2,31.92,0.24,Hyderabad,48.5184
15,1087,2023-01-01 14:00:00,Groceries,332,4,315.93,0.29,Hyderabad,897.2411999999999
16,1372,2023-01-01 15:00:00,Electronics,350,9,211.24,0.15,Delhi,1615.986
17,1099,2023-01-01 16:00:00,Home,486,6,455.33,0.09,Bangalore,2486.1018
18,1871,2023-01-01 17:00:00,Clothing,225,6,480.47,0.23,Mumbai,2219.7714
19,1663,2023-01-01 18:00:00,Groceries,334,9,89.27,0.25,Hyderabad,602.5725
20,1130,2023-01-01 19:00:00,Groceries,237,4,144.33,0.21,Mumbai,456.0828000000001
21,1661,2023-01-01 20:00:00,Home,148,3,140.36,0.25,Delhi,315.81000000000006
22,1308,2023-01-01 21:00:00,Books,479,7,54.81,0.22,Delhi,299.2626
23,1769,2023-01-01 22:00:00,Books,285,7,244.06,0.29,Mumbai,1212.9782
24,1343,2023-01-01 23:00:00,Books,304,9,258.98,0.17,Mumbai,1934.5806
25,1491,2023-01-02 00:00:00,Clothing,177,6,288.62,0.11,Delhi,1541.2308
26,1413,2023-01-02 01:00:00,Home,485,2,333.16,0.2,Bangalore,533.056
27,1805,2023-01-02 02:00:00,Home,293,6,36.14,0.02,Mumbai,212.5032
28,1385,2023-01-02 03:00:00,Books,202,8,313.13,0.15,Chennai,2129.284
29,1191,2023-01-02 04:00:00,Books,204,6,457.34,0.23,Chennai,2112.9108
30,1955,2023-01-02 05:00:00,Electronics,475,9,230.22,0.05,Mumbai,1968.3809999999999
31,1276,2023-01-02 06:00:00,Electronics,386,4,57.82,0.12,Hyderabad,203.5264
32,1160,2023-01-02 07:00:00,Groceries,423,3,47.54,0.11,Delhi,126.93180000000001
33,1459,2023-01-02 08:00:00,Groceries,310,5,144.47,0.1,Bangalore,650.115
34,1313,2023-01-02 09:00:00,Home,349,3,377.5,0.2,Chennai,906.0
35,1021,2023-01-02 10:00:00,Home,392,2,134.19,0.15,Chennai,228.123
36,1252,2023-01-02 11:00:00,Clothing,300,2,408.09,0.24,Hyderabad,620.2968
37,1747,2023-01-02 12:00:00,Clothing,123,4,410.73,0.02,Mumbai,1610.0616
38,1856,2023-01-02 13:00:00,Electronics,399,3,231.27,0.14,Hyderabad,596.6766
39,1560,2023-01-02 14:00:00,Groceries,182,9,153.89,0.0,Bangalore,1385.0099999999998
40,1474,2023-01-02 15:00:00,Electronics,396,7,300.85,0.07,Mumbai,1958.5335000000002
41,1058,2023-01-02 16:00:00,Electronics,278,6,406.21,0.23,Chennai,1876.6901999999998
42,1510,2023-01-02 17:00:00,Groceries,397,8,36.96,0.03,Chennai,286.8096
43,1681,2023-01-02 18:00:00,Clothing,463,9,476.94,0.03,Delhi,4163.6862
44,1475,2023-01-02 19:00:00,Groceries,305,3,324.72,0.12,Bangalore,857.2608000000001
45,1699,2023-01-02 20:00:00,Books,139,7,202.08,0.23,Chennai,1089.2112000000002
46,1975,2023-01-02 21:00:00,Books,403,9,255.48,0.19,Hyderabad,1862.4491999999998
47,1782,2023-01-02 22:00:00,Books,212,1,195.87,0.23,Chennai,150.81990000000002
48,1189,2023-01-02 23:00:00,Home,439,9,209.24,0.01,Hyderabad,1864.3284
49,1957,2023-01-03 00:00:00,Clothing,103,7,299.83,0.17,Hyderabad,1742.0122999999999
50,1686,2023-01-03 01:00:00,Clothing,207,4,34.82,0.14,Mumbai,119.7808
51,1957,2023-01-03 02:00:00,Home,415,6,91.81,0.27,Mumbai,402.1278
52,1562,2023-01-03 03:00:00,Electronics,213,6,117.38,0.22,Chennai,549.3384
53,1875,2023-01-03 04:00:00,Books,266,6,206.72,0.13,Chennai,1079.0783999999999
54,1566,2023-01-03 05:00:00,Books,360,2,188.67,0.17,Hyderabad,313.19219999999996
55,1243,2023-01-03 06:00:00,Electronics,205,5,362.49,0.13,Mumbai,1576.8315
56,1831,2023-01-03 07:00:00,Groceries,323,7,133.29,0.13,Chennai,811.7361
57,1504,2023-01-03 08:00:00,Groceries,361,6,33.25,0.19,Mumbai,161.595
